notif_id,plate,owner,phone,type,message,status,time
45,WB53AS7612,Riya Das,+915125486662,SMS,WB53AS7612 overspeeding (58 km/h) at Hospital Road,Delivered,2026-03-24 04:45:58
46,ML72BR1484,Rohan Nair,+911576202706,SYSTEM,ML72BR1484 overspeeding (62 km/h) at Sports Complex,Failed,2026-03-23 22:58:58
47,KA04TV4558,Vikram Bose,+917707675638,EMAIL,KA04TV4558 overspeeding (25 km/h) at GH-4 Gate,Failed,2026-03-24 08:30:58
48,ML88RX4292,Sneha Joshi,+913910963340,SYSTEM,ML88RX4292 overspeeding (50 km/h) at Library Junction,Failed,2026-03-23 17:56:58
49,ML96SL5034,Ananya Nair,+913496992806,EMAIL,ML96SL5034 overspeeding (47 km/h) at Hospital Road,Delivered,2026-03-24 11:33:58
50,AS87CO8533,Arjun Kumar,+914853515621,SMS,AS87CO8533 overspeeding (51 km/h) at Academic Block A,Failed,2026-03-23 15:06:58
51,DL01NF5747,Arjun Verma,+911316655257,SYSTEM,DL01NF5747 overspeeding (32 km/h) at Academic Block A,Delivered,2026-03-24 07:49:58
52,ML88RX4292,Sneha Joshi,+913910963340,SMS,ML88RX4292 overspeeding (68 km/h) at Sports Complex,Delivered,2026-03-23 14:44:58
53,DL83RN3192,Pooja Mehta,+916710951012,EMAIL,DL83RN3192 overspeeding (40 km/h) at Sports Complex,Delivered,2026-03-23 23:29:58
54,DL15VL1668,Arjun Mehta,+918492100012,SYSTEM,DL15VL1668 overspeeding (60 km/h) at Main Gate,Delivered,2026-03-23 17:25:58
55,WB91KK4291,Sneha Verma,+918987479903,SYSTEM,WB91KK4291 overspeeding (39 km/h) at Main Gate,Delivered,2026-03-24 08:34:58
56,DL49NC5997,Pooja Kumar,+913421486777,SMS,DL49NC5997 overspeeding (61 km/h) at Hospital Road,Failed,2026-03-23 17:59:58
57,KA97LD1716,Rajesh Gupta,+916474566939,SYSTEM,KA97LD1716 overspeeding (35 km/h) at Academic Block A,Failed,2026-03-23 14:50:58
58,ML32GF1928,Aman Iyer,+917798826466,EMAIL,ML32GF1928 overspeeding (60 km/h) at Main Gate,Failed,2026-03-24 01:18:58
59,AS85BJ2738,Rohan Joshi,+910333651880,SMS,AS85BJ2738 overspeeding (22 km/h) at Academic Block A,Failed,2026-03-23 19:39:58
60,KA14YZ5213,Rajesh Bose,+917500846271,SYSTEM,KA14YZ5213 overspeeding (21 km/h) at Hospital Road,Delivered,2026-03-24 12:01:58
61,WB66YQ5291,Riya Nair,+913398014429,SMS,WB66YQ5291 overspeeding (37 km/h) at Main Gate,Delivered,2026-03-23 13:05:58
62,ML28CR1695,Suresh Mehta,+915639757890,SMS,ML28CR1695 overspeeding (25 km/h) at GH-4 Gate,Failed,2026-03-23 18:59:58
63,ML45SH3466,Sneha Joshi,+914389074659,SMS,ML45SH3466 overspeeding (57 km/h) at Library Junction,Delivered,2026-03-24 09:35:58
64,AS05UA4808,Kavya Das,+919637877610,EMAIL,AS05UA4808 overspeeding (33 km/h) at Main Gate,Delivered,2026-03-24 01:15:58
65,KA72NF7276,Kavya Sharma,+914958854666,EMAIL,KA72NF7276 overspeeding (48 km/h) at Main Gate,Failed,2026-03-23 15:38:58
66,DL39UK9366,Pooja Bose,+918116523937,SMS,DL39UK9366 overspeeding (62 km/h) at Residential Zone,Failed,2026-03-23 21:54:58
67,ML46MM6488,Rajesh Joshi,+919322317460,SYSTEM,ML46MM6488 overspeeding (38 km/h) at Academic Block B,Delivered,2026-03-23 17:33:58
68,DL74BJ4274,Suresh Verma,+912083212354,SMS,DL74BJ4274 overspeeding (30 km/h) at Library Junction,Delivered,2026-03-24 11:41:58
69,DL49NC5997,Pooja Kumar,+913421486777,EMAIL,DL49NC5997 overspeeding (24 km/h) at Academic Block A,Delivered,2026-03-24 10:11:58
70,WB66YQ5291,Riya Nair,+913398014429,SYSTEM,WB66YQ5291 overspeeding (28 km/h) at Library Junction,Failed,2026-03-23 14:16:58
71,AS62CG5474,Kavya Bose,+919032494066,EMAIL,AS62CG5474 overspeeding (35 km/h) at Main Gate,Delivered,2026-03-23 13:14:58
72,WB43LM1595,Sneha Gupta,+914372014242,EMAIL,WB43LM1595 overspeeding (55 km/h) at Hospital Road,Delivered,2026-03-24 08:25:58
73,DL39UK9366,Pooja Bose,+918116523937,EMAIL,DL39UK9366 overspeeding (61 km/h) at Sports Complex,Failed,2026-03-24 00:16:58
74,AS84QL6148,Rohan Joshi,+913289615662,SYSTEM,AS84QL6148 overspeeding (52 km/h) at Academic Block B,Delivered,2026-03-24 07:54:58
75,KA91KA4712,Meena Mehta,+914977347776,SYSTEM,KA91KA4712 overspeeding (46 km/h) at Sports Complex,Delivered,2026-03-23 15:23:58
76,WB53AS7612,Riya Das,+915125486662,EMAIL,WB53AS7612 overspeeding (29 km/h) at Library Junction,Failed,2026-03-23 14:49:58
77,KA91LX9133,Riya Das,+915415160089,SYSTEM,KA91LX9133 overspeeding (66 km/h) at GH-4 Gate,Delivered,2026-03-24 09:36:58
78,WB58WC3808,Arjun Joshi,+913635977474,SYSTEM,WB58WC3808 overspeeding (63 km/h) at Residential Zone,Failed,2026-03-24 11:45:58
79,KA54JI4942,Neha Nair,+918675014564,EMAIL,KA54JI4942 overspeeding (68 km/h) at Main Gate,Failed,2026-03-24 02:34:58
80,DL05AZ5766,Rahul Joshi,+913347348918,EMAIL,DL05AZ5766 overspeeding (60 km/h) at Residential Zone,Delivered,2026-03-23 19:50:58
81,DL21FZ5173,Rahul Nair,+911900874208,SYSTEM,DL21FZ5173 overspeeding (51 km/h) at Academic Block A,Delivered,2026-03-24 06:09:58
82,WB36BB8849,Pooja Nair,+916299069117,EMAIL,WB36BB8849 overspeeding (39 km/h) at GH-4 Gate,Failed,2026-03-24 10:07:58
83,AS39TF1535,Suresh Sharma,+916015436475,SYSTEM,AS39TF1535 overspeeding (30 km/h) at Hospital Road,Failed,2026-03-23 23:58:58
84,DL98TW1231,Arjun Das,+911014027580,SMS,DL98TW1231 overspeeding (40 km/h) at GH-4 Gate,Delivered,2026-03-23 20:33:58
85,WB59SZ3341,Rahul Bose,+917914437386,SYSTEM,WB59SZ3341 overspeeding (40 km/h) at Library Junction,Failed,2026-03-24 11:55:58
86,KA17GN7428,Rohan Bose,+915832157688,SYSTEM,KA17GN7428 overspeeding (39 km/h) at Main Gate,Delivered,2026-03-23 18:35:58
87,AS39TF1535,Suresh Sharma,+916015436475,EMAIL,AS39TF1535 overspeeding (48 km/h) at GH-4 Gate,Delivered,2026-03-23 16:17:58
88,KA26GV1325,Priya Mehta,+915506330633,EMAIL,KA26GV1325 overspeeding (62 km/h) at Hospital Road,Delivered,2026-03-24 10:56:58
89,AS62CG5474,Kavya Bose,+919032494066,EMAIL,AS62CG5474 overspeeding (27 km/h) at Academic Block A,Failed,2026-03-24 06:10:58
90,WB48UU1369,Arjun Kumar,+918948026518,EMAIL,WB48UU1369 overspeeding (54 km/h) at GH-4 Gate,Delivered,2026-03-24 11:58:58
91,AS83FS6022,Kavya Mehta,+917446152331,EMAIL,AS83FS6022 overspeeding (63 km/h) at Academic Block A,Delivered,2026-03-24 05:27:58
92,AS27RC7448,Ananya Sharma,+919232836094,EMAIL,AS27RC7448 overspeeding (26 km/h) at Hospital Road,Failed,2026-03-23 23:45:58
93,DL74BJ4274,Suresh Verma,+912083212354,SYSTEM,DL74BJ4274 overspeeding (47 km/h) at GH-4 Gate,Delivered,2026-03-24 12:15:58
94,AS78YT6554,Aman Nair,+915592718773,SYSTEM,AS78YT6554 overspeeding (24 km/h) at Academic Block B,Failed,2026-03-24 00:45:58
95,ML46MM6488,Rajesh Joshi,+919322317460,SMS,ML46MM6488 overspeeding (42 km/h) at Sports Complex,Delivered,2026-03-24 10:50:58
96,DL59QR2695,Suresh Das,+910814670689,SMS,DL59QR2695 overspeeding (40 km/h) at Main Gate,Delivered,2026-03-23 23:21:58
97,WB59SZ3341,Rahul Bose,+917914437386,EMAIL,WB59SZ3341 overspeeding (61 km/h) at Main Gate,Failed,2026-03-23 23:40:58
98,KA82OH1461,Neha Nair,+915236349201,SYSTEM,KA82OH1461 overspeeding (59 km/h) at Hospital Road,Delivered,2026-03-24 00:34:58
99,AS17HA8384,Riya Verma,+917556453519,EMAIL,AS17HA8384 overspeeding (62 km/h) at GH-4 Gate,Delivered,2026-03-24 00:52:58
100,DL99TM2873,Pooja Bose,+918396935104,SYSTEM,DL99TM2873 overspeeding (27 km/h) at Hospital Road,Delivered,2026-03-23 13:11:58
101,KA32PF6209,Rahul Nair,+913422974948,SYSTEM,KA32PF6209 overspeeding (54 km/h) at Academic Block B,Failed,2026-03-24 09:25:58
102,KA26GV1325,Priya Mehta,+915506330633,EMAIL,KA26GV1325 overspeeding (61 km/h) at Residential Zone,Failed,2026-03-24 09:30:58
103,ML56BF3812,Kavya Verma,+911367302207,EMAIL,ML56BF3812 overspeeding (31 km/h) at Residential Zone,Delivered,2026-03-24 10:44:58
104,AS56EJ1700,Pooja Verma,+914789307919,SYSTEM,AS56EJ1700 overspeeding (52 km/h) at GH-4 Gate,Failed,2026-03-24 05:47:58
105,DL63EZ3326,Suresh Nair,+913397774947,SYSTEM,DL63EZ3326 overspeeding (38 km/h) at Academic Block B,Failed,2026-03-23 15:13:58
106,KA91KA4712,Meena Mehta,+914977347776,SMS,KA91KA4712 overspeeding (34 km/h) at Academic Block A,Failed,2026-03-24 00:48:58
107,ML56BF3812,Kavya Verma,+911367302207,SMS,ML56BF3812 overspeeding (25 km/h) at Library Junction,Failed,2026-03-23 14:16:58
108,KA82OH1461,Neha Nair,+915236349201,SMS,KA82OH1461 overspeeding (54 km/h) at Sports Complex,Failed,2026-03-23 20:03:58
109,ML28TE1153,Rajesh Gupta,+910236906726,SMS,ML28TE1153 overspeeding (31 km/h) at Academic Block B,Failed,2026-03-23 23:10:58
110,ML53WF1442,Arjun Das,+916625753145,SYSTEM,ML53WF1442 overspeeding (44 km/h) at Library Junction,Delivered,2026-03-24 10:34:58
111,KA11BF5605,Vikram Sharma,+911190227555,SMS,KA11BF5605 overspeeding (61 km/h) at Residential Zone,Delivered,2026-03-24 00:32:58
112,KA48KJ3409,Aman Bose,+912160886709,EMAIL,KA48KJ3409 overspeeding (54 km/h) at Main Gate,Failed,2026-03-23 22:40:58
113,DL59QR2695,Suresh Das,+910814670689,SYSTEM,DL59QR2695 overspeeding (28 km/h) at GH-4 Gate,Delivered,2026-03-23 18:07:58
114,ML66DO3392,Neha Kumar,+919221505021,SMS,ML66DO3392 overspeeding (59 km/h) at Residential Zone,Delivered,2026-03-24 05:08:58
115,KA16IA3366,Rohan Sharma,+915286067475,SMS,KA16IA3366 overspeeding (31 km/h) at Academic Block B,Failed,2026-03-23 22:01:58
116,AS86JG9373,Suresh Mehta,+912381617150,SYSTEM,AS86JG9373 overspeeding (33 km/h) at Academic Block A,Failed,2026-03-24 04:51:58
117,KA11BF5605,Vikram Sharma,+911190227555,SMS,KA11BF5605 overspeeding (57 km/h) at Library Junction,Failed,2026-03-24 06:27:58
118,DL74BJ4274,Suresh Verma,+912083212354,SYSTEM,DL74BJ4274 overspeeding (46 km/h) at Hospital Road,Delivered,2026-03-24 06:29:58
119,AS78YT6554,Aman Nair,+915592718773,SYSTEM,AS78YT6554 overspeeding (23 km/h) at Hospital Road,Failed,2026-03-23 13:01:58
120,KA85SP8923,Sneha Iyer,+915424963059,SYSTEM,KA85SP8923 overspeeding (42 km/h) at Hospital Road,Failed,2026-03-24 05:14:58
121,AS62CG5474,Kavya Bose,+919032494066,SMS,AS62CG5474 overspeeding (57 km/h) at Academic Block B,Delivered,2026-03-23 20:18:58
122,AS84QL6148,Rohan Joshi,+913289615662,SYSTEM,AS84QL6148 overspeeding (48 km/h) at Sports Complex,Delivered,2026-03-23 22:54:58
123,WB89CN6765,Riya Mehta,+913561598010,SYSTEM,WB89CN6765 overspeeding (38 km/h) at Hospital Road,Delivered,2026-03-23 21:13:58
124,DL80AM5081,Neha Iyer,+919588170395,SMS,DL80AM5081 overspeeding (63 km/h) at Academic Block A,Delivered,2026-03-24 02:00:58
125,DL83WU9535,Kavya Nair,+911915390504,SYSTEM,DL83WU9535 overspeeding (28 km/h) at Academic Block A,Failed,2026-03-23 20:03:58
126,KA92JX4694,Riya Kumar,+914291031585,SYSTEM,KA92JX4694 overspeeding (31 km/h) at GH-4 Gate,Failed,2026-03-23 22:46:58
127,DL98KR3808,Rohan Iyer,+917462868793,SMS,DL98KR3808 overspeeding (38 km/h) at Sports Complex,Failed,2026-03-23 23:43:58
128,AS86JG9373,Suresh Mehta,+912381617150,EMAIL,AS86JG9373 overspeeding (21 km/h) at Academic Block A,Delivered,2026-03-23 23:40:58
129,KA72NF7276,Kavya Sharma,+914958854666,SYSTEM,KA72NF7276 overspeeding (67 km/h) at Hospital Road,Failed,2026-03-23 18:18:58
130,ML56VE5235,Rahul Bose,+916488033059,EMAIL,ML56VE5235 overspeeding (23 km/h) at Residential Zone,Delivered,2026-03-24 00:05:58
131,KA55JD5796,Riya Gupta,+916827671617,SMS,KA55JD5796 overspeeding (24 km/h) at GH-4 Gate,Delivered,2026-03-24 12:24:58
132,WB58WC3808,Arjun Joshi,+913635977474,SMS,WB58WC3808 overspeeding (59 km/h) at Main Gate,Failed,2026-03-24 07:11:58
133,DL01NF5747,Arjun Verma,+911316655257,SMS,DL01NF5747 overspeeding (45 km/h) at Residential Zone,Failed,2026-03-24 03:50:58
134,DL68JU6845,Meena Iyer,+914327603910,EMAIL,DL68JU6845 overspeeding (34 km/h) at Academic Block A,Failed,2026-03-23 20:38:58
135,WB83EK6884,Pooja Iyer,+913168632252,EMAIL,WB83EK6884 overspeeding (21 km/h) at Residential Zone,Delivered,2026-03-23 22:42:58
136,WB57OF5240,Arjun Iyer,+911483946013,SYSTEM,WB57OF5240 overspeeding (25 km/h) at Hospital Road,Failed,2026-03-23 20:26:58
137,KA91KA4712,Meena Mehta,+914977347776,SYSTEM,KA91KA4712 overspeeding (54 km/h) at Main Gate,Delivered,2026-03-23 19:19:58
138,KA97LD1716,Rajesh Gupta,+916474566939,EMAIL,KA97LD1716 overspeeding (23 km/h) at GH-4 Gate,Delivered,2026-03-24 06:19:58
139,KA30QN3381,Sneha Sharma,+912427917146,EMAIL,KA30QN3381 overspeeding (51 km/h) at Sports Complex,Delivered,2026-03-24 03:54:58
140,ML53WF1442,Arjun Das,+916625753145,EMAIL,ML53WF1442 overspeeding (51 km/h) at Academic Block A,Failed,2026-03-23 17:56:58
141,WB48UU1369,Arjun Kumar,+918948026518,SMS,WB48UU1369 overspeeding (24 km/h) at Academic Block A,Failed,2026-03-23 14:04:58
142,DL72HP6499,Kavya Iyer,+916877846731,EMAIL,DL72HP6499 overspeeding (31 km/h) at Library Junction,Failed,2026-03-24 10:07:58
143,AS83FS6022,Kavya Mehta,+917446152331,SYSTEM,AS83FS6022 overspeeding (50 km/h) at Residential Zone,Failed,2026-03-23 21:44:58
144,ML56BF3812,Kavya Verma,+911367302207,EMAIL,ML56BF3812 overspeeding (35 km/h) at Academic Block B,Delivered,2026-03-24 09:15:58
145,WB19EG7034,Priya Bose,+916975237282,EMAIL,WB19EG7034 overspeeding (36 km/h) at Hospital Road,Failed,2026-03-23 16:15:58
146,WB59SZ3341,Rahul Bose,+917914437386,SMS,WB59SZ3341 overspeeding (40 km/h) at Academic Block A,Delivered,2026-03-23 16:14:58
147,WB34HA6278,Priya Nair,+911278416516,SYSTEM,WB34HA6278 overspeeding (35 km/h) at Hospital Road,Failed,2026-03-24 01:51:58
148,KA91KA4712,Meena Mehta,+914977347776,SYSTEM,KA91KA4712 overspeeding (48 km/h) at Hospital Road,Delivered,2026-03-23 17:48:58
149,AS39DD6131,Neha Nair,+917489491004,EMAIL,AS39DD6131 overspeeding (62 km/h) at GH-4 Gate,Failed,2026-03-24 08:54:58
150,AS85BJ2738,Rohan Joshi,+910333651880,SMS,AS85BJ2738 overspeeding (56 km/h) at Sports Complex,Failed,2026-03-23 14:35:58
151,ML28TE1153,Rajesh Gupta,+910236906726,EMAIL,ML28TE1153 overspeeding (46 km/h) at Sports Complex,Delivered,2026-03-23 16:04:58
152,ML94LG3675,Arjun Bose,+912905214340,SYSTEM,ML94LG3675 overspeeding (50 km/h) at Hospital Road,Failed,2026-03-24 12:08:58
153,WB48OH1391,Suresh Sharma,+914985618855,EMAIL,WB48OH1391 overspeeding (54 km/h) at Residential Zone,Failed,2026-03-24 09:25:58
154,KA16QU5840,Ananya Kumar,+912966108850,EMAIL,KA16QU5840 overspeeding (31 km/h) at Academic Block B,Failed,2026-03-24 10:42:58
155,WB03IY1586,Rohan Das,+919834567754,EMAIL,WB03IY1586 overspeeding (33 km/h) at Academic Block B,Delivered,2026-03-23 18:38:58
156,DL01NF5747,Arjun Verma,+911316655257,SMS,DL01NF5747 overspeeding (50 km/h) at Residential Zone,Delivered,2026-03-24 10:44:58
157,DL32VH5131,Ananya Nair,+916053706022,EMAIL,DL32VH5131 overspeeding (54 km/h) at Residential Zone,Failed,2026-03-24 09:59:58
158,DL59QR2695,Suresh Das,+910814670689,SYSTEM,DL59QR2695 overspeeding (47 km/h) at Main Gate,Failed,2026-03-24 09:28:58
159,ML32GF1928,Aman Iyer,+917798826466,SYSTEM,ML32GF1928 overspeeding (26 km/h) at Sports Complex,Failed,2026-03-24 10:41:58
160,KA32HP4802,Kavya Gupta,+911841233946,SYSTEM,KA32HP4802 overspeeding (40 km/h) at Academic Block A,Failed,2026-03-23 16:20:58
161,DL12UZ8203,Rahul Joshi,+910460448844,SYSTEM,DL12UZ8203 overspeeding (48 km/h) at Sports Complex,Failed,2026-03-23 21:35:58
162,ML56VE5235,Rahul Bose,+916488033059,EMAIL,ML56VE5235 overspeeding (44 km/h) at Hospital Road,Failed,2026-03-23 23:26:58
163,DL09RM3079,Rajesh Gupta,+910414389408,EMAIL,DL09RM3079 overspeeding (40 km/h) at GH-4 Gate,Delivered,2026-03-23 13:51:58
164,WB58WC3808,Arjun Joshi,+913635977474,SMS,WB58WC3808 overspeeding (48 km/h) at Hospital Road,Delivered,2026-03-24 05:43:58
165,WB69AZ2580,Rahul Gupta,+917864439585,SYSTEM,WB69AZ2580 overspeeding (52 km/h) at GH-4 Gate,Delivered,2026-03-23 19:22:58
166,AS87CO8533,Arjun Kumar,+914853515621,SMS,AS87CO8533 overspeeding (29 km/h) at Residential Zone,Failed,2026-03-24 02:17:58
167,KA91LX9133,Riya Das,+915415160089,EMAIL,KA91LX9133 overspeeding (60 km/h) at Academic Block B,Failed,2026-03-24 07:46:58
168,DL05AZ5766,Rahul Joshi,+913347348918,EMAIL,DL05AZ5766 overspeeding (24 km/h) at Academic Block B,Failed,2026-03-23 23:17:58
169,WB43LM1595,Sneha Gupta,+914372014242,EMAIL,WB43LM1595 overspeeding (65 km/h) at Sports Complex,Failed,2026-03-24 09:22:58
170,ML66ZK5727,Meena Das,+917622447332,SYSTEM,ML66ZK5727 overspeeding (24 km/h) at Academic Block B,Delivered,2026-03-24 09:24:58
171,WB66YQ5291,Riya Nair,+913398014429,SYSTEM,WB66YQ5291 overspeeding (44 km/h) at Residential Zone,Failed,2026-03-24 06:55:58
172,WB48UU1369,Arjun Kumar,+918948026518,SMS,WB48UU1369 overspeeding (47 km/h) at Hospital Road,Failed,2026-03-23 21:29:58
173,DL40VN4049,Rajesh Das,+915928684265,EMAIL,DL40VN4049 overspeeding (40 km/h) at GH-4 Gate,Failed,2026-03-24 05:43:58
174,ML94LG3675,Arjun Bose,+912905214340,EMAIL,ML94LG3675 overspeeding (69 km/h) at Academic Block B,Delivered,2026-03-23 21:16:58
175,KA85SP8923,Sneha Iyer,+915424963059,EMAIL,KA85SP8923 overspeeding (32 km/h) at Hospital Road,Failed,2026-03-24 08:48:58
176,AS27RC7448,Ananya Sharma,+919232836094,SYSTEM,AS27RC7448 overspeeding (51 km/h) at Main Gate,Delivered,2026-03-23 15:19:58
177,WB58WC3808,Arjun Joshi,+913635977474,SMS,WB58WC3808 overspeeding (36 km/h) at Hospital Road,Delivered,2026-03-23 18:06:58
178,WB59SZ3341,Rahul Bose,+917914437386,EMAIL,WB59SZ3341 overspeeding (48 km/h) at Academic Block A,Failed,2026-03-23 12:31:58
179,AS87CO8533,Arjun Kumar,+914853515621,EMAIL,AS87CO8533 overspeeding (51 km/h) at Academic Block A,Delivered,2026-03-23 19:34:58
180,ML67AP9551,Suresh Verma,+917855402642,SYSTEM,ML67AP9551 overspeeding (21 km/h) at Main Gate,Delivered,2026-03-23 13:07:58
181,WB03IY1586,Rohan Das,+919834567754,EMAIL,WB03IY1586 overspeeding (30 km/h) at Main Gate,Failed,2026-03-24 03:47:58
182,KA82OH1461,Neha Nair,+915236349201,EMAIL,KA82OH1461 overspeeding (64 km/h) at Residential Zone,Delivered,2026-03-24 01:01:58
