plate,owner,phone,email,type,total_violations,last_seen,currently_in_campus,max_speed,min_speed,avg_speed
AS05UA4808,Kavya Das,+919637877610,kavya.das@gmail.com,Vendor,14,2026-03-23 19:44:58,True,63,17,37.25
KA91KA4712,Meena Mehta,+914977347776,meena.mehta@iitg.ac.in,Staff,11,2026-03-24 08:39:58,True,66,25,46.0
ML34UE2374,Rohan Joshi,+914806694030,rohan.joshi@iitg.ac.in,Staff,13,2026-03-24 06:30:58,True,65,11,39.62
DL59NA4362,Arjun Mehta,+917190273178,arjun.mehta@iitg.ac.in,Visitor,8,2026-03-23 18:05:58,True,59,32,46.0
DL63EZ3326,Suresh Nair,+913397774947,suresh.nair@iitg.ac.in,Vendor,14,2026-03-24 06:42:58,False,67,13,37.22
KA30QN3381,Sneha Sharma,+912427917146,sneha.sharma@iitg.ac.in,Faculty,10,2026-03-23 18:42:58,True,67,18,40.75
AS39TF1535,Suresh Sharma,+916015436475,suresh.sharma@gmail.com,Vendor,14,2026-03-23 15:19:58,True,70,12,45.59
AS15DM4115,Kavya Bose,+912103891860,kavya.bose@iitg.ac.in,Vendor,6,2026-03-24 08:07:58,False,65,11,32.62
AS20XH6881,Ananya Gupta,+911468643669,ananya.gupta@gmail.com,Vendor,5,2026-03-23 13:07:58,True,68,10,39.43
AS86JG9373,Suresh Mehta,+912381617150,suresh.mehta@gmail.com,Student,10,2026-03-23 22:27:58,True,60,13,33.77
KA54JI4942,Neha Nair,+918675014564,neha.nair@gmail.com,Staff,8,2026-03-24 06:15:58,True,68,11,30.73
AS35MP2924,Sneha Mehta,+914556580308,sneha.mehta@gmail.com,Student,7,2026-03-23 19:58:58,False,67,10,47.25
WB58WC3808,Arjun Joshi,+913635977474,arjun.joshi@gmail.com,Faculty,11,2026-03-23 16:18:58,True,63,21,44.27
WB57OF5240,Arjun Iyer,+911483946013,arjun.iyer@gmail.com,Staff,10,2026-03-24 10:12:58,True,56,19,35.27
DL86SZ9423,Meena Joshi,+919354767148,meena.joshi@iitg.ac.in,Vendor,15,2026-03-24 00:54:58,True,69,17,40.72
ML45SH3466,Sneha Joshi,+914389074659,sneha.joshi@gmail.com,Visitor,11,2026-03-24 06:35:58,True,69,12,47.0
DL52IZ2550,Ananya Iyer,+918110914408,ananya.iyer@iitg.ac.in,Visitor,8,2026-03-24 05:42:58,True,69,11,38.0
KA16QU5840,Ananya Kumar,+912966108850,ananya.kumar@gmail.com,Staff,8,2026-03-24 06:37:58,True,62,11,38.4
KA04TV4558,Vikram Bose,+917707675638,vikram.bose@iitg.ac.in,Faculty,10,2026-03-23 23:43:58,False,67,14,38.77
DL12UZ8203,Rahul Joshi,+910460448844,rahul.joshi@gmail.com,Staff,4,2026-03-24 05:25:58,True,67,13,36.8
ML67AP9551,Suresh Verma,+917855402642,suresh.verma@gmail.com,Faculty,9,2026-03-24 01:02:58,False,65,13,41.1
KA72NF7276,Kavya Sharma,+914958854666,kavya.sharma@iitg.ac.in,Visitor,12,2026-03-24 01:57:58,False,67,16,37.88
DL98KR3808,Rohan Iyer,+917462868793,rohan.iyer@iitg.ac.in,Vendor,7,2026-03-24 04:55:58,False,66,10,39.5
ML73GV9095,Rajesh Mehta,+912021048241,rajesh.mehta@iitg.ac.in,Vendor,12,2026-03-23 17:38:58,True,70,10,42.79
AS87CO8533,Arjun Kumar,+914853515621,arjun.kumar@gmail.com,Staff,9,2026-03-24 11:26:58,False,68,10,34.46
WB84FK1524,Suresh Das,+919692463706,suresh.das@gmail.com,Visitor,10,2026-03-24 10:48:58,False,69,15,42.58
WB19EG7034,Priya Bose,+916975237282,priya.bose@gmail.com,Faculty,5,2026-03-24 00:16:58,True,66,13,35.43
KA57ND7683,Rajesh Sharma,+911007590061,rajesh.sharma@gmail.com,Faculty,4,2026-03-23 15:56:58,False,67,11,29.57
DL32VH5131,Ananya Nair,+916053706022,ananya.nair@gmail.com,Faculty,10,2026-03-23 23:31:58,True,65,11,44.42
KA17GN7428,Rohan Bose,+915832157688,rohan.bose@iitg.ac.in,Visitor,8,2026-03-24 06:40:58,False,64,13,32.15
ML66ZK5727,Meena Das,+917622447332,meena.das@iitg.ac.in,Faculty,14,2026-03-23 23:11:58,True,70,24,51.64
AS95FF9779,Arjun Sharma,+917988247351,arjun.sharma@iitg.ac.in,Staff,8,2026-03-24 00:15:58,False,66,14,39.11
DL83WU9535,Kavya Nair,+911915390504,kavya.nair@iitg.ac.in,Visitor,15,2026-03-24 12:20:58,True,69,10,39.21
DL99TM2873,Pooja Bose,+918396935104,pooja.bose@gmail.com,Student,10,2026-03-24 04:36:58,False,67,10,39.45
KA67DY2024,Kavya Bose,+919877170221,kavya.bose@gmail.com,Visitor,7,2026-03-23 16:43:58,True,67,18,34.89
KA26GV1325,Priya Mehta,+915506330633,priya.mehta@iitg.ac.in,Staff,14,2026-03-24 10:07:58,False,64,17,42.19
KA85SP8923,Sneha Iyer,+915424963059,sneha.iyer@gmail.com,Faculty,15,2026-03-23 12:27:58,False,69,12,47.38
KA32HP4802,Kavya Gupta,+911841233946,kavya.gupta@gmail.com,Student,10,2026-03-24 10:15:58,False,69,19,45.18
KA97LD1716,Rajesh Gupta,+916474566939,rajesh.gupta@gmail.com,Student,9,2026-03-23 20:25:58,False,70,18,44.0
DL08NI4952,Vikram Nair,+912709109071,vikram.nair@iitg.ac.in,Vendor,6,2026-03-23 23:38:58,False,64,12,32.1
KA11BF5605,Vikram Sharma,+911190227555,vikram.sharma@gmail.com,Staff,6,2026-03-23 15:12:58,True,61,13,42.0
ML97PM4717,Rajesh Joshi,+910225793932,rajesh.joshi@iitg.ac.in,Faculty,7,2026-03-23 19:17:58,False,60,11,37.44
DL15VL1668,Arjun Mehta,+918492100012,arjun.mehta@iitg.ac.in,Vendor,9,2026-03-23 20:38:58,True,63,11,37.4
DL21FZ5173,Rahul Nair,+911900874208,rahul.nair@iitg.ac.in,Visitor,9,2026-03-23 21:02:58,False,62,17,45.0
ML28TE1153,Rajesh Gupta,+910236906726,rajesh.gupta@gmail.com,Vendor,12,2026-03-23 16:12:58,False,68,10,35.47
KA13RM5187,Vikram Nair,+914767591949,vikram.nair@gmail.com,Staff,9,2026-03-23 15:13:58,True,67,11,41.75
AS39DD6131,Neha Nair,+917489491004,neha.nair@iitg.ac.in,Faculty,14,2026-03-23 14:51:58,True,69,13,38.56
AS34EA9219,Ananya Verma,+919279012809,ananya.verma@iitg.ac.in,Staff,12,2026-03-23 21:15:58,True,64,10,36.87
DL31BI3386,Kavya Verma,+919431025879,kavya.verma@iitg.ac.in,Visitor,11,2026-03-24 07:08:58,True,68,18,42.69
WB15EK7276,Neha Gupta,+916521010367,neha.gupta@iitg.ac.in,Faculty,11,2026-03-23 20:29:58,True,65,19,43.92
ML56VE5235,Rahul Bose,+916488033059,rahul.bose@iitg.ac.in,Vendor,9,2026-03-24 03:04:58,False,70,11,36.46
KA82OH1461,Neha Nair,+915236349201,neha.nair@gmail.com,Faculty,14,2026-03-23 23:14:58,True,64,13,39.83
AS78YT6554,Aman Nair,+915592718773,aman.nair@iitg.ac.in,Staff,4,2026-03-23 23:50:58,False,66,10,25.1
AS40IU3799,Rohan Nair,+910527804140,rohan.nair@gmail.com,Faculty,10,2026-03-23 15:43:58,False,65,13,38.5
DL09RM3079,Rajesh Gupta,+910414389408,rajesh.gupta@iitg.ac.in,Staff,9,2026-03-23 22:59:58,True,68,10,44.27
KA48KJ3409,Aman Bose,+912160886709,aman.bose@iitg.ac.in,Visitor,11,2026-03-24 03:32:58,False,66,11,40.85
AS20GA9785,Rahul Iyer,+913620715201,rahul.iyer@iitg.ac.in,Student,14,2026-03-24 00:21:58,False,70,14,40.94
AS11BT4725,Priya Iyer,+918449239542,priya.iyer@gmail.com,Student,6,2026-03-23 21:16:58,True,67,11,38.44
DL49NC5997,Pooja Kumar,+913421486777,pooja.kumar@iitg.ac.in,Student,13,2026-03-23 19:47:58,False,61,10,35.2
DL40VN4049,Rajesh Das,+915928684265,rajesh.das@iitg.ac.in,Staff,13,2026-03-23 15:28:58,True,70,26,47.77
WB83EK6884,Pooja Iyer,+913168632252,pooja.iyer@gmail.com,Staff,13,2026-03-23 18:02:58,True,70,10,37.59
AS17HA8384,Riya Verma,+917556453519,riya.verma@gmail.com,Staff,10,2026-03-24 00:36:58,True,66,18,42.42
DL39UK9366,Pooja Bose,+918116523937,pooja.bose@gmail.com,Visitor,12,2026-03-24 02:40:58,False,67,11,36.69
WB36BB8849,Pooja Nair,+916299069117,pooja.nair@gmail.com,Staff,7,2026-03-23 20:17:58,False,64,14,39.2
ML66DO3392,Neha Kumar,+919221505021,neha.kumar@iitg.ac.in,Vendor,11,2026-03-23 15:47:58,True,69,20,40.92
ML88RX4292,Sneha Joshi,+913910963340,sneha.joshi@gmail.com,Staff,12,2026-03-24 01:55:58,False,68,15,39.53
ML08KZ2169,Meena Kumar,+910547945931,meena.kumar@iitg.ac.in,Student,6,2026-03-24 10:52:58,False,60,14,31.71
KA16IA3366,Rohan Sharma,+915286067475,rohan.sharma@gmail.com,Faculty,12,2026-03-23 20:49:58,True,57,12,32.79
WB53AS7612,Riya Das,+915125486662,riya.das@gmail.com,Student,8,2026-03-24 01:43:58,True,69,13,37.27
AS85BJ2738,Rohan Joshi,+910333651880,rohan.joshi@iitg.ac.in,Faculty,9,2026-03-24 03:30:58,True,66,19,39.2
ML53WF1442,Arjun Das,+916625753145,arjun.das@iitg.ac.in,Student,7,2026-03-24 08:33:58,False,62,10,30.42
DL80AM5081,Neha Iyer,+919588170395,neha.iyer@gmail.com,Visitor,4,2026-03-24 09:55:58,False,63,16,31.71
KA55JD5796,Riya Gupta,+916827671617,riya.gupta@gmail.com,Faculty,14,2026-03-24 07:32:58,False,67,15,38.47
WB67HF8236,Neha Sharma,+916210931597,neha.sharma@iitg.ac.in,Faculty,9,2026-03-23 22:00:58,True,67,16,42.8
DL83RN3192,Pooja Mehta,+916710951012,pooja.mehta@iitg.ac.in,Faculty,13,2026-03-23 23:56:58,True,69,16,40.5
WB35LG7640,Neha Verma,+911544676659,neha.verma@iitg.ac.in,Vendor,11,2026-03-24 05:38:58,True,65,14,39.85
KA98NI8813,Arjun Iyer,+917883709970,arjun.iyer@gmail.com,Visitor,7,2026-03-23 23:11:58,True,66,17,47.62
KA14YZ5213,Rajesh Bose,+917500846271,rajesh.bose@gmail.com,Faculty,10,2026-03-24 12:21:58,True,54,17,35.8
ML67RX5733,Arjun Iyer,+917949777325,arjun.iyer@gmail.com,Staff,8,2026-03-24 09:39:58,True,63,24,41.62
AS27RC7448,Ananya Sharma,+919232836094,ananya.sharma@iitg.ac.in,Visitor,11,2026-03-23 13:47:58,True,57,23,44.42
AS83FS6022,Kavya Mehta,+917446152331,kavya.mehta@iitg.ac.in,Student,15,2026-03-24 07:20:58,True,70,11,42.39
ML32GF1928,Aman Iyer,+917798826466,aman.iyer@gmail.com,Visitor,16,2026-03-24 02:09:58,True,66,21,44.25
KA32PF6209,Rahul Nair,+913422974948,rahul.nair@gmail.com,Vendor,10,2026-03-24 06:48:58,False,63,10,33.53
ML72BR1484,Rohan Nair,+911576202706,rohan.nair@gmail.com,Faculty,10,2026-03-24 05:51:58,False,62,11,33.15
WB34HA6278,Priya Nair,+911278416516,priya.nair@gmail.com,Staff,7,2026-03-23 23:04:58,False,69,14,45.5
WB69AZ2580,Rahul Gupta,+917864439585,rahul.gupta@iitg.ac.in,Student,5,2026-03-23 13:33:58,True,68,13,40.62
WB59SZ3341,Rahul Bose,+917914437386,rahul.bose@iitg.ac.in,Visitor,15,2026-03-23 17:35:58,False,68,15,39.95
WB66YQ5291,Riya Nair,+913398014429,riya.nair@iitg.ac.in,Student,12,2026-03-24 07:46:58,True,60,21,35.75
ML46MM6488,Rajesh Joshi,+919322317460,rajesh.joshi@iitg.ac.in,Visitor,9,2026-03-23 22:27:58,True,68,10,34.38
ML64JM7237,Ananya Mehta,+910089925356,ananya.mehta@iitg.ac.in,Faculty,12,2026-03-24 06:44:58,True,70,10,37.75
ML07XQ7196,Rohan Bose,+915677490863,rohan.bose@iitg.ac.in,Vendor,6,2026-03-23 14:45:58,False,56,10,29.5
AS66CQ3987,Neha Das,+911025854153,neha.das@gmail.com,Vendor,6,2026-03-23 15:24:58,False,69,16,42.56
DL59QR2695,Suresh Das,+910814670689,suresh.das@gmail.com,Vendor,16,2026-03-24 12:03:58,True,69,11,46.22
WB91KK4291,Sneha Verma,+918987479903,sneha.verma@iitg.ac.in,Vendor,9,2026-03-24 00:55:58,True,70,16,43.6
KA92JX4694,Riya Kumar,+914291031585,riya.kumar@iitg.ac.in,Faculty,9,2026-03-24 04:53:58,True,69,12,47.6
WB48UU1369,Arjun Kumar,+918948026518,arjun.kumar@iitg.ac.in,Vendor,15,2026-03-24 11:41:58,False,68,15,41.43
ML94LG3675,Arjun Bose,+912905214340,arjun.bose@gmail.com,Vendor,11,2026-03-24 04:34:58,False,69,15,44.83
KA05JP7623,Meena Bose,+919000637891,meena.bose@gmail.com,Vendor,12,2026-03-23 13:31:58,False,67,10,44.0
WB43LM1595,Sneha Gupta,+914372014242,sneha.gupta@iitg.ac.in,Staff,10,2026-03-24 09:17:58,False,69,10,41.21
DL74BJ4274,Suresh Verma,+912083212354,suresh.verma@gmail.com,Student,9,2026-03-23 18:32:58,False,65,11,32.5
DL62KW3487,Vikram Sharma,+913688960820,vikram.sharma@gmail.com,Faculty,6,2026-03-23 16:00:58,False,68,10,36.6
ML56BF3812,Kavya Verma,+911367302207,kavya.verma@gmail.com,Visitor,10,2026-03-23 21:31:58,True,70,12,40.57
